аб;"(ав I, ай , аба мн. I, ар, мн. ;;PNCT
абагван;(абáгваᴴлъ,–аби);лопатка;NOUN
абагван;(абáгваᴴлъ,–аби);плечо;NOUN
абагьар;;масд. гл. абáгьила;UNKN
абагьар;(–лъ);отек;NOUN
а=б=агьи=ла;(–а,–ас̄,–абé,–б/о,–ӣйāх);опухать;INFN
абадийа=б;;вечный;ADJF
абадин-абада̄л̄ъир;;никогда;ADVB
абадин-абадил̄ъи;;никогда;ADVB
абарона;(–лъ/–лъилъ);оборона;NOUN
абарот;(–лъи лъ);оборот;NOUN
абат=ала;;;PNCT
абатар;;масд. гл. абáтила;UNKN
абатар;(–лъ);течка;NOUN
абатар;(–лъ);баловство;NOUN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);шевелить;INFN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);раскачивать;INFN
абататалар;;масд. гл. абататáйла;UNKN
абататалар;(–лъ);шевеление;NOUN
абататалар;(–лъ);раскачивание;NOUN
абататар;;масд. гл. абáтатила;UNKN
абататар;(–лъ);шевеление;NOUN
абататар;(–лъ);шатание;NOUN
абататар;(–лъ);подергивание;NOUN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шевелиться;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шататься;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);подергиваться;INFN
абат=а̄ла;;;PNCT
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);быть в течке;INFN
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);баловаться;INFN
абатит=або;;см. титвáдила;UNKN
абгунийа=б;;см. áбщинаб;UNKN
абдар;;масд. гл. áбдила;UNKN
абдар;(–лъ);чистка;NOUN
абди=ла;(–ø,–ас̄,–а,–б/о,–āх);чистить;INFN
абе;(авé I,айé , абá мн. I, арé мн. );вот;PRCL
абейав;;вот;PRCL
абейай;;вот;PRCL
аб̄е;;вот;PRCL
абицар=апицер;(–щу/б,–заби);офицер;NOUN
абицарлгьар;(–лъ);офицерство;NOUN
апицант;(–щу/б,–заби);официант;NOUN
абтабиагра̄пийа;(–лъ,–би);автобиография;NOUN
авт̄обуз;(–улъ,–аби);автобус;NOUN
абтобус;(–улъ,–аби);автобус;NOUN
абтамат;(–илъ,–аби);автомат;NOUN
абтаномийа;(–лъ);автономия;NOUN
абтаномийаб;;автономный;ADJF
абтар;(–щу/б,–лъилъ,–заби);автор;NOUN
абтека;(–лъилъ,–аби);аптека;NOUN
абтикар;(–щуб,–лъилъ);аптекарь;NOUN
а=б=це=бел;(–щу/б,–лъилъ , ,–арýб мн.I,–арýлъ мн. );этот;ADJF
абцеӀила=ацебӀир;;в последнее время;NOUN
абцекъа̄л̄ъир;;в последнее время;NOUN
абшижит;(–илъ,–аби);общежитие;NOUN
абщежитийа;(–илъ,–аби);общежитие;NOUN
абщина=б=ащина=б;;столько;NUMR
авадана=б;;веселый;ADJF
авал;(–лъ,–áби);дом;NOUN
авал-ахир;(–лъ);пределы;NOUN
авал-ахир;(–лъ);ясность;NOUN
авара;(–лъ,–би);препятствие;NOUN
авара;(–лъ,–би);хлопоты;NOUN
авараг;(–щу/б,–заби);пророк;NOUN
аварийа;(–лъ,–би);авария;NOUN
аванс;(–илъ,–аби);аванс;NOUN
аваᵸтура;(–лъ,–би);авантюра;NOUN
аваᵸтурист;(–щуб,–заби);авантюрист;NOUN
аваᵸтуриска;(–лъ,–би);авантюристка;NOUN
августбо̄с̄Ӏ;(–улъ);август;NOUN
авейав;;вот;PRCL
авейай;;вот;PRCL
агитатур;(–щу/б,–лъилъ,–заби);агитатор;NOUN
акитацийа;(–лъ);агитация;NOUN
агитпуᵸкут;(–улъ,–аби);агитпункт;NOUN
аграном;(–щу/б,–лъилъ);агроном;NOUN
агъаз;(–илъ);забота;NOUN
агъаз;(–илъ);важность;NOUN
агъазвачӀу=б;;беспечный;ADJF
агъазвачӀу=б;;неважный;ADJF
агь;(–илъ);виноград;NOUN
агьа̄рахӣс;;поверхностно;ADJS
агьа̄рахӣс;;поверхностный;ADJF
агьецӀа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);поднимать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);вставать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);подниматься;INFN
агьи;;наверх;ADVB
агьи;;выше;NOUN
агьи;;на;INTJ
агьибугьа=йла;(–л,–лас̄,–лá, л̄о,–лēх);повторять;INFN
агьикьи;;вниз;ADVB
агьикъайди=ла;(–ø,–ас̄,–бе,–б/о,–āх);поручать;INFN
агьикьимакӀва;(–лъ,–би);сад;NOUN
агьикьих̄у=б;;крутой;ADJF
агьила;;еще;PRCL
агьила;;напротив;ADVB
агьила;;вдобавок;ADVB
агьилалъа̄би;;в будущем году;NOUN
агьим;(–улъ,–аби);балка;NOUN
агьӣс;;сверху;PREP
агьӣс;;с;NOUN
агьӣс;;верхний;ADJF
агьӣс=ба=гъу=ла;(–ø, агьӣс̄багъвас̄, агьӣс̄багъва,–б/о, агьӣс̄багъвēх);просить прощения;INFN
агьӣс=б=елъила;(–ø,–ас̄,–бе,–б/о,–ēх);прощать;INFN
агьӣс=б=елъу=б;;ловкий;ADJF
агьихинди;;выше;NOUN
агьло;(–лъ/–лъилъ, собир.);люди;NOUN
агьо̄лела;(–улъ,–иби);тыльная сторона ладони;ADJF
адаб;(–илъ);вежливость;NOUN
адабе;;вот;PRCL
адабочӀу=б;;невоспитанный;ADJF
адабейав;;вот;PRCL
адабейай;;вот;PRCL
адабийат;(–илъ);литература;NOUN
адаб-хъатир;(–лъ);уважительность;NOUN
адабчӀана̄с;;вежливый;ADJF
адабида=б;;вежливый;ADJF
арам;(–улъ);человек;NOUN
адамвачӀу=б;;одинокий;ADJF
адамгьела=ба;;человечный;ADJF
адарейав;;вот;PRCL
адарейай;;вот;PRCL
адвакат;(–щу/б,–лъилъ,–заби);адвокат;NOUN
адийал;(–лъ,–аби);одеяло;NOUN
адикалон;(адикалóНлъ/адикалóНлъилъ,–аби);одеколон;NOUN
адрис;(–илъ,–аби);адрес;NOUN
а̄деленийа;(–лъ,–би);отделение;NOUN
а̄дил;(–лъилъ,–аби);отдел;NOUN
адж̄и=ла;(–ø,–ēс̄,–ē, б/о,–ийāх);поцеловать;INFN
азал;(–лъ,–аби);долото;NOUN
азалийа=б;;вечный;ADJF
азалийа=б;;предопределенный;PRTF
азалу=б;;постный;ADJF
азалъ;(–улъ,–аби);дверная коробка;ADJF
азарда;;тысяча;NOUN
азарда̄л̄ъир;;тысяча;NOUN
азарчӀекӀу=б;;тысяча;NOUN
азбар;(–лъ,–ал);двор;NOUN
аздагьо;(–лъ, аздагьвáби);дракон;NOUN
аздагьо;(–лъ, аздагьвáби);злой человек;ADJF
азербижана=в;(–щу/б,–ди);азербайджанец;NOUN
азербижанади;(–уб);азербайджанцы;NOUN
азербижанай;(–л̄ъ̄илъ, азербижáнади);азербайджанка;NOUN
ази-азарда;;тысяча;NOUN
айат;(–илъ,–аби);стих;NOUN
ай̄е;;вот;PRCL
ай̄о;;вот;PRCL
айрадром;(–лъилъ,–аби);аэродром;NOUN
акв̄е=ла;(–ø,–с̄,–ø,–б/о,–йāх);косить;INFN
акве̄р;(–лъилъ);жатва;NOUN
акийан;(акийáНлъилъ,–аби);океан;NOUN
акта;(–лъ,–би);акт;NOUN
актабирбо̄с̄Ӏ;(–улъ);октябрь;NOUN
акушерка;(–лъ,–би);акушерка;NOUN
акъвакь;(–илъ,–аби);навес;NOUN
акъвар;;масд. гл. áкъула;UNKN
акъвар;(–лъ);кровля;NOUN
акъо;(–лъ,–би);конура;NOUN
акъо;(–лъ,–би);шалаш;NOUN
акъо;(–лъ,–би);лачуга;NOUN
акӀвама=аркӀвама;(–лъ,–би);стреха;NOUN
акӀвама=аркӀвама;(–лъ,–би);козырек;NOUN
акӀвама=аркӀвама;(–лъ,–би);фуражка;NOUN
ал;(–илъ,–аби);лист;NOUN
ал;(–илъ,–аби);листва;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);стойло;NOUN
алара;(–лъ,–би);стог;NOUN
алат;(–илъ, собир.);инструмент;NOUN
алахъ;(–лъилъ,–аби);глушь;NOUN
алахъ;(–лъилъ,–аби);пастбище;NOUN
алахъ;(–лъилъ,–аби);пустое место;ADJF
албом=албум;(албóНлъилъ,–аби);альбом;NOUN
алгьа=б;"(–в I,–й ,–ба мн. I,–р мн. ;pron;LATN
б=етӀу=ла;(–ø, бетIвáс̄,–бá,  бетIвá/б/о, бетIве́̄х);обрываться;INFN
б=етӀу=ла;(–ø, бетIвáс̄,–бá,  бетIвá/б/о, бетIве́̄х);трескаться;INFN
б=ех̄ала=б;;длинный;ADJF
б=ех̄ала=б;;высокий;ADJF
б=ех̄ала=б;;долгий;ADJF
б=ех̄алгьа=йла;(–л,–лас̄,–ла,–л̄о/–ли/б/о,–лēх);удлинять;INFN
б=ех̄алгьа=йла;(–л,–лас̄,–ла,–л̄о/–ли/б/о,–лēх);затягивать;INFN
б=ех̄а̄=йла;(–л,–лас̄,–ла,–л̄о/–ли/б/о,–лēх);удлинять;INFN
б=ех̄а̄=йла;(–л,–лас̄,–ла,–л̄о/–ли/б/о,–лēх);затягивать;INFN
б=ех̄а=лила;(–л,–лас̄,–ла,–л̄о/–ли/б/о,–лēх);удлинять;INFN
б=ех̄а=лила;(–л,–лас̄,–ла,–л̄о/–ли/б/о,–лēх);затягивать;INFN
б=ех̄алгьалар;;масд. гл.  бе̄хáлгьайла//б/е̄ха̄йла//бе̄хáлила;UNKN
б=ех̄алгьалар;(–лъилъ);удлинение;NOUN
б=ех̄алгьалар;(–лъилъ);затягивание;NOUN
б=ех̄алгьар;;масд. гл.  бех̄áлгьила;UNKN
б=ех̄алгьар;(–лъилъ);удлинение;NOUN
б=ех̄алгьар;(–лъилъ);длина;NOUN
б=ех̄алгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);удлиняться;INFN
б=ех̄алгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);становиться выше;INFN
б=ех̄алгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);затягиваться;INFN
бех̄двар;;масд. гл.   бéх̄дула;UNKN
бех̄двар;(–лъилъ);израсходование;NOUN
бех̄двар;(–лъилъ);исчезновение;NOUN
бех̄ду=ла;(–ø, бéхдвас̄,–бé,–б/о, бéOдвēх);кончаться;INFN
бех̄ду=ла;(–ø, бéхдвас̄,–бé,–б/о, бéOдвēх);сгинуть;INFN
бех̄елвачӀу=б;;бессмысленный;ADJF
бех̄елида=б;;разумный;ADJF
бех̄ӣсро̄с;(–илъ);зад;NOUN
бех̄ӣсучӀила;(–лъ,–би);ягодица;NOUN
бехъ;(–илъ);абрикосы;NOUN
б=ехъар;;масд. гл.  бéхъила;UNKN
б=ехъар;(–лъилъ);волочение;NOUN
б=ехъар;(–лъилъ);проведение линии;NOUN
бехъехъар;(–лъилъ);масд. гл.  бехъéхъила;UNKN
бехъехъар;(–лъилъ);волочение;NOUN
бехъехъар;(–лъилъ);затягивание (во времени);NOUN
б=ехъехъи=ла;(–ø,–ас̄,–á,–б/о,–ēх);волочиться;INFN
б=ехъехъи=ла;(–ø,–ас̄,–á,–б/о,–ēх);волочить;INFN
б=ехъехъи=ла;(–ø,–ас̄,–á,–б/о,–ēх);растягивать;INFN
б=ехъи=ла;(–ø,–áс̄,–á,–б/о,–́а̄х);волочить;INFN
б=ехъи=ла;(–ø,–áс̄,–á,–б/о,–́а̄х);проводить (линию);INFN
б=ехьва=йла;(–л,–лас̄,–лá,–л̄о,–лēх);менять;INFN
б=ехьвалар;;масд. гл.   бéхьвайла;UNKN
б=ехьвалар;(–лъилъ);обмен;NOUN
б=ехьвахьва=йла;(–л,–лас̄,–лá,–л̄о,–лēх);менять;INFN
б=ехьвахьвалар;;масд. гл. бéхьвахьвайла;UNKN
б=ехьвахьвалар;(–лъилъ);смена;NOUN
бехьун;;см.   чиᴴдв;UNKN
бецене̄р;;масд. гл. бецéнила;UNKN
бецене̄р;(–лъилъ);украшение;NOUN
бецене̄р;(–лъилъ);лесть;NOUN
бецене̄р;(–лъилъ);расхваливание;NOUN
бецени=ла;(–ø,–ēс̄,–é,–бо,–ēх);украшать;INFN
бецени=ла;(–ø,–ēс̄,–é,–бо,–ēх);льстить;INFN
бецени=ла;(–ø,–ēс̄,–é,–бо,–ēх);хвалить;INFN
б=ецӀа=йла;(–л,–лáс̄,–лá,–л̄о,–лēх);наполнять;INFN
б=ецӀа=йла;(–л,–лáс̄,–лá,–л̄о,–лēх);насыщать;INFN
б=ецӀалар;;масд. гл. бецIайла;UNKN
б=ецӀалар;(–лъилъ);заполнение;NOUN
б=ецӀалар;(–лъилъ);насыщение;NOUN
б=ецӀар;;масд. гл.   бéцIила;UNKN
б=ецӀар;;наполнение;NOUN
б=ецӀар;;насыщение;NOUN
бецӀида=йла;(–л,–лас̄,–лá,–л̄о,–лāх);понуд. от   бéцIидила;UNKN
бецӀида=йла;(–л,–лас̄,–лá,–л̄о,–лāх);мстить;INFN
бецӀидалар;;масд. гл.  бéцIидайла;UNKN
бецӀидалар;(–лъилъ);месть;NOUN
бецӀидар;;масд.  гл.   бéцIидила;UNKN
бецӀидар;(–лъилъ);погашение (задолженности);NOUN
бецӀидар;(–лъилъ);возмещение (убытков);NOUN
бецӀиди=ла;(–ø,–ас̄,–á,–б/о,–āх);возмещать (убыток);INFN
бецӀиди=ла;(–ø,–ас̄,–á,–б/о,–āх);погашать (задолженность);INFN
б=ецӀи=ла;(–ø,–áс̄,–бé,–ӣ/б/о,–е́̄х);наполняться;INFN
б=ецӀи=ла;(–ø,–áс̄,–бé,–ӣ/б/о,–е́̄х);выпачкаться;INFN
б=ецӀи=ла;(–ø,–áс̄,–бé,–ӣ/б/о,–е́̄х);насыщаться;INFN
беча;(–ýлъ,–иби);змея;NOUN
беча;(–ýлъ,–иби);червь;NOUN
бечах̄а=йла;(–л,–лас̄,–лá,–л̄о,–ли/б/о,–лēх);доводить (продукты)  до червивости;INFN
бечах̄а=йла;(–л,–лас̄,–лá,–л̄о,–ли/б/о,–лēх);распространять сплетни;INFN
бечах̄алар;;масд. гл.   бéчах̄айла;UNKN
бечах̄алар;(–лъ);доведение до червивости;NOUN
бечах̄алар;(–лъ);распространение сплетен;NOUN
бечах̄ар;;масд. гл.   бéчах̄ила;UNKN
бечах̄ар;(–лъилъ);червивость;NOUN
бечах̄ила;(–ø,–ас̄,–бé,–б/о,–ēх);червиветь;INFN
бечах̄ила;(–ø,–ас̄,–бé,–б/о,–ēх);кишеть сплетнями;INFN
бечед;(–щу/б);бог;NOUN
бечеда=б;;богатый;ADJF
бечелгьа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);обогащать;INFN
бечелгьалар;;масд. гл.   бечéлгьайла;UNKN
бечелгьалар;(–лъ);обогащение;NOUN
бечелгьар;;масд. гл.  бечéлгьила;UNKN
бечелгьар;(–лъ);богатство;NOUN
бечелгьи=ла;(–ø,–ас̄,–бе, б/о,–ēх);богатеть;INFN
б=ечича=йла;(–л,–лас̄,–лá,–л̄о,–лēх);понуд. от  бечӣчила;UNKN
б=ечича=йла;(–л,–лас̄,–лá,–л̄о,–лēх);оставлять без внимания;INFN
б=ечичалар;;масд. гл.   бечичáйла;UNKN
б=ечичалар;(–лъилъ);забвение;NOUN
б=ечичар;;масд. гл.   бечӣчила;UNKN
б=ечичар;(–лъилъ);забывчивость;NOUN
бечичийо̄=б;;забывчивый;ADJF
б=ечичи=ла;(–а,–ас̄,–абó,–а/б/о,–ēх);забывать;INFN
б=ечичичӀу=б;;незабываемый;ADJF
б=ечичичӀу=б;;незабвенный;ADJF
бечучан;(–лъ,–аби);раковина (улитки);NOUN
бечӀакъасану=б;;с черной спиной (о масти животного);NOUN
бечӀакъасану=б;;пестрый (с черным фоном – о ткани);ADJF
бечӀатӀагьал=бечӀатӀугьал;(–илъ);конские бобы;ADJF
б=ечӀв̄ер;;масд. гл.  бечIвла;UNKN
б=ечӀв̄ер;(–лъилъ);опорожнение;NOUN
б=ечӀв̄ер;(–лъилъ);разгрузка;NOUN
б=ечӀв̄и=ла;(–ø,–е́̄с,–é,–б/о,–е́̄х);опорожнять;INFN
б=ечӀв̄и=ла;(–ø,–е́̄с,–é,–б/о,–е́̄х);разгружать;INFN
б=ечӀетӀилгьа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);чернить;INFN
б=ечӀетӀилгьалар;;масд. гл.   бечIéтIилгьайла;UNKN
б=ечӀетӀилгьалар;(–лъилъ);чернение;NOUN
бечӀетӀилгьар;;масд. гл.   бечIéтIилгьила;UNKN
бечӀетӀилгьар;(–лъилъ);почернение;NOUN
б=ечӀетӀилгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);чернеть;INFN
б=ечӀетӀилгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);мрачнеть;INFN
б=ечӀетӀилгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);возненавидеть;INFN
б=ечӀетӀу=б;;черный;ADJF
бечӀетӀубжим;(–улъ);душица обыкновенная;NOUN
бечӀетӀубжим;(–улъ);сушеница болотная;NOUN
бечӀин;(бечIаᴴлъ);ячмень;NOUN
бечӀин;(бечIаᴴлъ);ячмень (болезнь);NOUN
бечӀ̄о;(–лъ, собир.);крупный рогатый скот;ADJF
бечӀ̄о;(–лъ, собир.);тихоня;NOUN
бечӀ̄охӀав=ан;(–аᴴлъ,  собир.);скот;NOUN
б=ечӀура;;пусто;ADJS
б=ечӀура;;даром;NOUN
б=ечӀура=б=б=ечӀурас;;пустой;ADJF
б=ечӀура=б=б=ечӀурас;;без начинки;PREP
бечӀураракӀва̄л̄ъа;;натощак;ADVB
бешенда;;сто;NUMR
бешеᵸда̄л̄ъир;;сто раз;NUMR
бешеᵸчӀекӀу=б;(служит для образования составных числительных);сто  (служит для образования составных числительных);NUMR
бешо;(–лъ,–би);голубёнок;NOUN
б=ешхъа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);замораживать;INFN
б=ешхъалар;;масд. гл.  бéшхъайла;UNKN
б=ешхъалар;(–лъилъ);замораживание;NOUN
б=ешхъар;(–лъилъ);масд. гл.  бéшхъила;UNKN
б=ешхъар;(–лъилъ);оледенение;NOUN
б=ешхъар;(–лъилъ);застывание (жира);NOUN
б=ешхъи=ла;(–а,–ас̄,–абé,–а/б/о,–ēх);замерзать;INFN
б=ешхъи=ла;(–а,–ас̄,–абé,–а/б/о,–ēх);застывать (о жире);INFN
б=еща=б;;жирный (о мясе);ADJF
б=еща=б;;упитанный (о животном);PRTF
б=еща=б;;налитой (об орехе);PRTF
б=еща=йла;(–л,–лас̄,–лá,–л̄о,–лēх);жарить;INFN
б=ещалгьа=йла;(–л,–лас̄,–ла,–л̄о,–лēх);откармливать (животное);INFN
б=ещалгьалар;;масд. гл.  бéщалгьайла;UNKN
б=ещалгьалар;(–лъилъ);откармливание;NOUN
б=ещалгьар;;масд. гл.  бéщалгьила;UNKN
б=ещалгьар;(–лъилъ);упитанность;NOUN
б=ещалгьи=ла;(–ø,–ас̄,–бе,–б/о,–ēх);прибавляться в весе (о животном);INFN
б=ещар;;масд. гл.  бéщила;UNKN
б=ещар;(–лъилъ);жарка (с маслом);ADJS
б=ещар;(–лъилъ);поджаривание (зерна);NOUN
б=ещащар=б=ещещар;;масд. гл. бещáщила/бещéщила;UNKN
б=ещащар=б=ещещар;(–лъилъ);жарка;ADJS
б=ещащар=б=ещещар;(–лъилъ);поджаривание (зерна);NOUN
б=ещва=б;;прич. гл.  бéщула;UNKN
б=ещва=б;;крученый;ADJF
б=ещва=б;;обмёточный (шов);ADJF
б=ещва=йла;(–л,–лас̄,–лá,–л̄о,–лēх);скручивать;INFN
б=ещвалар;;масд. гл. бéщвайла;UNKN
б=ещвалар;(–лъилъ);скручивание;NOUN
б=ещвар;;масд. гл. бéщула;UNKN
б=ещвар;(–лъилъ);перекрученность;NOUN
б=ещвар;(–лъилъ);сучение (пряжи);NOUN
б=ещда=йла=б=ешта=йла;(–л,–лас̄,–лá,–л̄о,–лēх);понуд. от бéщдила;UNKN
б=ещдар;;масд. гл.  бéщдила;UNKN
б=ещдар;(–лъилъ);пуск;NOUN
б=ещдар;(–лъилъ);запуск (механизма);NOUN
б=ещдар;(–лъилъ);введение (одного вещества в другое);NOUN
б=ещдар;(–лъилъ);появление ростков, корней;NOUN
б=ещдар;(–лъилъ);издание;NOUN
б=ещдар;(–лъилъ);распространение, разглашение;UNKN
б=ещдар;(–лъилъ);случка;NOUN
б=ещдар;(–лъилъ);роение;NOUN
б=ещдар;(–лъилъ);скачки;NOUN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);пускать;INFN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);засовывать;INFN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);приводить в движение;INFN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);вводить (одно вещество в другое или наносить на другое);INFN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);распускать (корни);INFN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);издавать;INFN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);распространять;INFN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);случать (овец, коз);INFN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);роиться (о пчелах);INFN
б=ещди=ла;(–а,–ас̄.–á,–/б/о,–ēх);заставлять или давать возможность;INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);пускать;INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);засовывать;INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);приводить в движение;INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);вводить (одно вещество в другое или наносить на другое);INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);распускать (корни);INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);издавать;INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);распространять;INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);случать (овец, коз);INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);роиться (о пчелах);INFN
б=ешти=ла;(–а,–ас̄.–á,–/б/о,–ēх);заставлять или давать возможность;INFN
б=ещещи=ла;(–ø,–ас̄,–á,–б/о,–ēх);жарить;INFN
б=ещещи=ла;(–ø,–ас̄,–á,–б/о,–ēх);жарить (в масле);INFN
б=ещи=ла;(–ø,–ас̄.–á,–б/о,–е́̄х);жариться (в масле);INFN
б=ещи=ла;(–ø,–ас̄.–á,–б/о,–е́̄х);изнывать (от духоты, от жажды);INFN
б=ещи=ла;(–ø,–ас̄.–á,–б/о,–е́̄х);жарить (в масле);INFN
б=ещи=ла;(–ø,–ас̄.–á,–б/о,–е́̄х);жарить (зерно – как кушанье);INFN
бещул;(–алъ,–аби);дуга;NOUN
б=ещула;(бéщва, бéщвас̄, бещвá, бéщва/б/о, бéщвēх);перекручиваться;INFN
б=ещула;(бéщва, бéщвас̄, бещвá, бéщва/б/о, бéщвēх);отворачиваться;INFN
б=ещула;(бéщва, бéщвас̄, бещвá, бéщва/б/о, бéщвēх);сучить (пряжу);INFN
бещур;;см.  пýщур;UNKN
б=еъедар;;масд. гл.   беъéдила;UNKN
б=еъедар;(–лъилъ);ласка;NOUN
б=еъедар;(–лъилъ);баловство;NOUN
б=еъеди=ла;(–ø, ас̄,–а,–б/о,–ēх);ласкать;INFN
б=еъеди=ла;(–ø, ас̄,–а,–б/о,–ēх);баловать;INFN
б̄ебила;;незаметно;ADJS
бийадачӀида=б=о;;незаметно;ADJS
б=е̄л;;до;PREP
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);приходить;INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);привозить;INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);наступать (о времени);INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);исполняться (о сроке);INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);выпадать (об осадках);INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);достигать;INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);появляться (о слезах, о молоке в груди, вымени);INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);получать;INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);поспевать;INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);выделяться;INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);приходить в какое–л. состояние;INFN
б=̄ела;(бā, бāс̄, бебé, б́а̄бо, бéйах);испытывать;INFN
б=̄елар;;масд. гл.  бéлила;UNKN
б=̄елар;(–лъ);выучивание;NOUN
б=̄елар;(–лъ);узнавание;NOUN
б=̄елар;(–лъ);сообщение;NOUN
б=̄елар;(–лъ);заявление;NOUN
б=е̄р;;масд. гл. бӣла;UNKN
б=е̄р;(–лъилъ);знание;NOUN
б=е̄р;(–лъилъ);умение;NOUN
б=е̄р;(–лъилъ);видимость;NOUN
б̄ер-гьа̄ᵸр;(–лъ,–аби);знакомство;NOUN
б=е̄чӀу=б;;прич. общ. вр. отриц. гл.   бӣла;UNKN
б=е̄чӀу=б;;незнакомый;ADJF
б=е̄чӀу=б;;неумелый;ADJF
б=е̄чӀу=б;;невидимый;ADJF
бибида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);понуд. от   бибӣдила;UNKN
бибидар;;масд. гл.   бибӣдила;UNKN
бибидар;(–лъилъ);крик (истошный);NOUN
бибиди=ла;(–ø,–ас̄,–бé,–б/о,–āх);кричать;INFN
библат̄ека;(–лъ,–би);библиотека;NOUN
библат̄екар;(–щу/б,–лъилъ,–заби);библиотекарь;NOUN
бигавул;(–щу/б,–заби);аульский старшина;ADJF
б=игъа=йла;(–л,–лас̄,–лá,–л̄о/–либо,–лēх);ставить;INFN
б=игъа=йла;(–л,–лас̄,–лá,–л̄о/–либо,–лēх);останавливать;INFN
б=игъа=йла;(–л,–лас̄,–лá,–л̄о/–либо,–лēх);задерживать;INFN
б=игъа=йла;(–л,–лас̄,–лá,–л̄о/–либо,–лēх);прекращать;INFN
б=игъа=йла;(–л,–лас̄,–лá,–л̄о/–либо,–лēх);унимать;INFN
б=игъа=йла;(–л,–лас̄,–лá,–л̄о/–либо,–лēх);устанавливать;INFN
б=игъа=йла;(–л,–лас̄,–лá,–л̄о/–либо,–лēх);обеспечивать;INFN
б=игъалар;;масд. гл.  бӣгъайла;UNKN
б=игъалар;(–лъилъ);постановка;NOUN
б=игъалар;(–лъилъ);остановка;NOUN
б=игъалар;(–лъилъ);задержка;NOUN
б=игъалар;(–лъилъ);прекращение;NOUN
б=игъалар;(–лъилъ);усмирение;NOUN
б=игъалар;(–лъилъ);налаживание;NOUN
б=игъалар;(–лъилъ);обеспечение;NOUN
б=игъа=м;;прич. гл.  бӣгъина;UNKN
б=игъа=м;;проигравший;PRTF
бигъан;(бӣгъаᴴлъ);проигрыш;NOUN
б=игъанар;;масд. гл.   бӣгъайна;UNKN
б=игъанар;(–лъ);победа;NOUN
б=игъар;;масд. гл.  бӣгъила;UNKN
б=игъар;(–лъ);стойка;ADJS
б=игъар;(–лъ);остановка;NOUN
б=игъар;(–лъ);задержка;NOUN
